account_id,initial_risk_category,kyc_documentation_completeness,onboarding_channel,onboarding_device_id,opened_at
A00026,normal_risk_cdd,0.9492477236954456,app,DEV000026,2023-07-16
A00027,lower_risk_sdd,0.7128048734599989,app,DEV000027,2023-08-23
A00028,normal_risk_cdd,0.773033829594272,app,DEV000028,2023-12-02
A00029,normal_risk_cdd,0.8089604200642605,branch,DEV000029,2022-07-16
A00030,normal_risk_cdd,0.8424124314457198,app,DEV000030,2022-12-25
A00031,higher_risk_edd,0.8879674300791717,app,DEV000031,2025-03-05
A00032,normal_risk_cdd,0.8900371619988094,app,DEV000032,2022-08-19
A00033,normal_risk_cdd,0.8785527079372564,branch,DEV000033,2025-03-20
A00034,normal_risk_cdd,0.7629353765556246,app,DEV000034,2025-08-10
A00035,normal_risk_cdd,0.94574533672769,app,DEV000035,2024-03-24
A00036,lower_risk_sdd,0.6581848267047088,app,DEV000036,2024-05-04
A00037,normal_risk_cdd,0.7116743082606198,app,DEV000037,2022-10-04
A00038,normal_risk_cdd,0.8458925713324025,app,DEV000038,2023-02-14
A00039,normal_risk_cdd,0.8724965164738324,branch,DEV000039,2025-09-07
A00040,normal_risk_cdd,0.9278233889148592,app,DEV000040,2023-11-30
A00041,normal_risk_cdd,0.8230018877498707,app,DEV000041,2022-09-21
A00042,normal_risk_cdd,0.9162350613957766,app,DEV000042,2022-12-21
A00043,normal_risk_cdd,0.8649713589416173,app,DEV000043,2023-11-27
A00044,normal_risk_cdd,0.7447956312769937,app,DEV000044,2023-06-11
A00045,normal_risk_cdd,0.7367866581213989,app,DEV000045,2023-08-30
A00046,normal_risk_cdd,0.939804789611948,app,DEV000046,2024-12-27
A00047,normal_risk_cdd,0.9456787342705416,app,DEV000047,2023-08-26
A00048,normal_risk_cdd,0.8758327384323779,app,DEV000048,2023-03-16
A00049,lower_risk_sdd,0.7696565376944023,app,DEV000049,2025-09-11
A00050,normal_risk_cdd,0.9345287879233284,app,DEV000050,2023-02-14
A00051,lower_risk_sdd,0.7046902983583777,app,DEV000051,2024-11-30
A00052,normal_risk_cdd,0.7770950809013062,app,DEV000052,2025-11-21
A00053,normal_risk_cdd,0.9885143000825874,partner_institution,DEV000053,2022-11-18
A00054,normal_risk_cdd,0.8929041145766619,branch,DEV000054,2024-05-08
A00055,normal_risk_cdd,0.8191328980310703,branch,DEV000055,2024-04-05
A00056,normal_risk_cdd,0.7965383995755762,branch,DEV000056,2023-05-30
A00057,normal_risk_cdd,0.8705427025211085,app,DEV000057,2023-09-01
A00058,lower_risk_sdd,0.5163152732129236,app,DEV000058,2023-06-04
A00059,lower_risk_sdd,0.705973862028229,app,DEV000059,2022-02-13
A00060,normal_risk_cdd,0.7737143348244778,branch,DEV000060,2023-04-20
A00061,normal_risk_cdd,0.879648648705943,app,DEV000061,2025-09-25
A00062,normal_risk_cdd,0.8082703730113472,app,DEV000062,2025-01-10
A00063,normal_risk_cdd,0.8288465029820237,app,DEV000063,2024-02-10
A00064,normal_risk_cdd,0.7894472101787948,app,DEV000064,2024-01-08
A00065,normal_risk_cdd,0.8371016455055359,app,DEV000065,2024-06-19
A00066,normal_risk_cdd,1.0,app,DEV000066,2025-03-06
A00067,normal_risk_cdd,0.9608047701638912,app,DEV000067,2025-06-29
A00068,lower_risk_sdd,0.6783583163996365,branch,DEV000068,2025-05-03
A00069,normal_risk_cdd,0.8479764587548038,app,DEV000069,2022-02-04
A00070,normal_risk_cdd,0.9175360952554308,app,DEV000070,2024-04-30
A00071,normal_risk_cdd,0.9403976315286044,app,DEV000071,2022-01-19
A00072,normal_risk_cdd,0.7836145294233976,app,DEV000072,2024-07-28
A00073,normal_risk_cdd,0.8438048905894238,app,DEV000073,2024-09-01
A00074,lower_risk_sdd,0.5042433416345536,app,DEV000074,2023-12-14
A00075,normal_risk_cdd,0.9398481688208716,app,DEV000075,2022-02-10
A00076,normal_risk_cdd,1.0,app,DEV000076,2023-08-28
A00077,normal_risk_cdd,0.8564066099698469,app,DEV000077,2025-10-12
A00078,normal_risk_cdd,0.6799991900077587,branch,DEV000078,2024-10-29
A00079,normal_risk_cdd,0.8987112413261624,app,DEV000079,2021-12-22
A00080,normal_risk_cdd,0.7776728667080736,app,DEV000080,2025-04-19
A00081,normal_risk_cdd,0.7969320446668432,app,DEV000081,2022-07-23
A00082,normal_risk_cdd,0.9001261111832802,app,DEV000082,2022-03-08
A00083,normal_risk_cdd,0.8703643300410179,branch,DEV000083,2025-01-21
A00084,lower_risk_sdd,0.6109512979729119,app,DEV000084,2023-09-03
A00085,lower_risk_sdd,0.5980315493918669,app,DEV000085,2023-07-05
A00086,normal_risk_cdd,0.8600668844176665,app,DEV000086,2022-09-23
A00087,normal_risk_cdd,0.8172427557990106,branch,DEV000087,2022-09-16
A00088,normal_risk_cdd,0.7612610293117594,app,DEV000088,2025-09-05
A00089,normal_risk_cdd,0.8233949454817312,app,DEV000089,2024-08-20
A00090,normal_risk_cdd,0.8771674098604147,app,DEV000090,2022-02-20
A00091,normal_risk_cdd,0.8357517226544293,app,DEV000091,2024-06-30
A00092,normal_risk_cdd,0.7369193121401452,app,DEV000092,2024-12-06
A00093,normal_risk_cdd,0.9291251697100432,app,DEV000093,2023-05-23
A00094,normal_risk_cdd,0.6308950850445333,app,DEV000094,2025-02-18
A00095,normal_risk_cdd,0.8142907875977251,app,DEV000095,2025-04-30
A00096,normal_risk_cdd,0.8003841236356867,app,DEV000096,2022-09-16
A00097,lower_risk_sdd,0.6618543102297132,app,DEV000097,2025-06-12
A00098,lower_risk_sdd,0.6949329446242188,app,DEV000098,2022-05-03
A00099,higher_risk_edd,1.0,app,DEV000099,2024-11-30
A00100,higher_risk_edd,0.8930076101318272,app,DEV000100,2025-06-29
A00101,normal_risk_cdd,0.8969265869866785,app,DEV000101,2022-12-09
A00102,normal_risk_cdd,0.8656654710305168,app,DEV000102,2025-03-18
A00103,higher_risk_edd,0.8130768499853421,app,DEV000103,2024-06-12
A00104,normal_risk_cdd,1.0,app,DEV000104,2024-07-04
A00105,normal_risk_cdd,0.734897989820784,app,DEV000105,2023-11-18
A00106,normal_risk_cdd,0.8835597817847771,app,DEV000106,2024-01-07
A00107,normal_risk_cdd,0.8811967955358198,app,DEV000107,2025-02-18
A00108,lower_risk_sdd,0.6720509425863261,branch,DEV000108,2024-12-23
A00109,higher_risk_edd,0.9104338494270714,app,DEV000109,2025-02-20
A00110,normal_risk_cdd,0.91618021209124,app,DEV000110,2025-09-12
A00111,normal_risk_cdd,0.7251706020845523,app,DEV000111,2023-04-21
A00112,normal_risk_cdd,0.8447336969060861,app,DEV000112,2024-01-10
A00113,normal_risk_cdd,0.8048900258758033,app,DEV000113,2025-06-26
A00114,normal_risk_cdd,0.7958161646346374,app,DEV000114,2024-08-02
A00115,normal_risk_cdd,0.8842998229962836,app,DEV000115,2023-03-27
A00116,normal_risk_cdd,0.9361982834175746,app,DEV000116,2024-10-09
A00117,normal_risk_cdd,0.8225395390530507,app,DEV000117,2024-04-22
A00118,normal_risk_cdd,0.9124544871940622,app,DEV000118,2022-12-05
A00119,normal_risk_cdd,0.8539792532355679,app,DEV000119,2023-03-22
A00120,normal_risk_cdd,0.7785814232609592,app,DEV000120,2023-02-06
A00121,normal_risk_cdd,0.8293638325407149,app,DEV000121,2024-05-20
A00122,lower_risk_sdd,0.6260411287366708,app,DEV000122,2023-12-22
A00123,normal_risk_cdd,0.7942672069995642,app,DEV000123,2022-07-08
A00124,lower_risk_sdd,0.6842786342924667,branch,DEV000124,2022-05-30
A00125,normal_risk_cdd,0.8687716950163807,app,DEV000125,2025-09-12
A00126,normal_risk_cdd,0.7227480241384465,app,DEV000126,2022-07-20
A00127,lower_risk_sdd,0.5178779203808515,app,DEV000127,2022-04-29
A00128,lower_risk_sdd,0.6839747562564604,app,DEV000128,2022-02-16
A00129,normal_risk_cdd,0.7847770856964372,app,DEV000129,2024-11-03
A00130,normal_risk_cdd,0.8741632924080259,app,DEV000130,2023-11-27
A00131,higher_risk_edd,1.0,app,DEV000131,2025-10-01
A00132,normal_risk_cdd,0.7483237730075553,app,DEV000132,2025-06-24
A00133,normal_risk_cdd,0.7370770196339052,app,DEV000133,2023-08-29
A00134,normal_risk_cdd,0.9839545345916236,app,DEV000134,2025-02-03
A00135,lower_risk_sdd,0.6781256626369967,app,DEV000135,2025-01-07
A00136,higher_risk_edd,0.9164607474661384,app,DEV000136,2024-09-22
A00137,normal_risk_cdd,0.7752847637882989,branch,DEV000137,2024-01-27
A00138,normal_risk_cdd,0.8091647320874176,app,DEV000138,2025-04-22
A00139,lower_risk_sdd,0.5547542131109352,partner_institution,DEV000139,2022-09-10
A00140,normal_risk_cdd,0.9206729739272472,branch,DEV000140,2023-03-26
A00141,normal_risk_cdd,0.7878599077114943,app,DEV000141,2022-09-26
A00142,higher_risk_edd,1.0,app,DEV000142,2022-03-12
A00143,normal_risk_cdd,0.817949686418399,app,DEV000143,2023-07-04
A00144,normal_risk_cdd,0.7665319853106148,branch,DEV000144,2024-06-19
A00145,normal_risk_cdd,0.8158958729588959,app,DEV000145,2021-12-26
A00146,normal_risk_cdd,0.6400666577998866,app,DEV000146,2023-08-24
A00147,normal_risk_cdd,0.8403385138660794,branch,DEV000147,2024-01-21
A00148,normal_risk_cdd,0.8363904647095873,branch,DEV000148,2024-03-31
A00149,lower_risk_sdd,0.7159794197238374,partner_institution,DEV000149,2025-10-06
A00150,normal_risk_cdd,0.6990956057613296,app,DEV000150,2022-01-27
A00151,normal_risk_cdd,0.9429493088690838,app,DEV000151,2022-08-16
A00152,lower_risk_sdd,0.7156479435998125,app,DEV000152,2023-02-08
A00153,normal_risk_cdd,0.950163485095893,app,DEV000153,2025-01-11
A00154,lower_risk_sdd,0.645782289919669,app,DEV000154,2022-03-09
A00155,normal_risk_cdd,0.9311117467282204,app,DEV000155,2025-03-18
A00156,normal_risk_cdd,0.7323004772074475,app,DEV000156,2024-12-12
A00157,normal_risk_cdd,0.9070438052163626,app,DEV000157,2025-08-22
A00158,normal_risk_cdd,0.7883069790320043,app,DEV000158,2024-10-05
A00159,normal_risk_cdd,0.7178878534061651,branch,DEV000159,2024-08-07
A00160,lower_risk_sdd,0.5600687585468511,app,DEV000160,2022-09-21
A00161,higher_risk_edd,0.9504424910903416,app,DEV000161,2024-08-10
A00162,normal_risk_cdd,0.7840560633425917,app,DEV000162,2022-01-28
A00163,lower_risk_sdd,0.680085882535664,app,DEV000163,2024-09-13
A00164,normal_risk_cdd,0.7053409955996786,app,DEV000164,2023-10-23
A00165,normal_risk_cdd,0.679832196510731,app,DEV000165,2023-07-15
A00166,normal_risk_cdd,0.959790994731486,app,DEV000166,2022-08-02
A00167,normal_risk_cdd,0.9223040103521148,partner_institution,DEV000167,2022-11-24
A00168,normal_risk_cdd,0.7660562531268954,app,DEV000168,2022-06-06
A00169,higher_risk_edd,0.9497600285223567,branch,DEV000169,2022-02-23
A00170,normal_risk_cdd,0.931560564816106,app,DEV000170,2025-06-13
A00171,normal_risk_cdd,0.8835360486632484,partner_institution,DEV000171,2025-07-17
A00172,normal_risk_cdd,0.8618578476946782,app,DEV000172,2024-02-11
A00173,higher_risk_edd,1.0,app,DEV000173,2025-04-25
A00174,normal_risk_cdd,0.7915430019839024,branch,DEV000174,2023-12-08
A00175,lower_risk_sdd,0.6524942758931703,branch,DEV000175,2023-07-19
A00176,normal_risk_cdd,0.8485721089366086,app,DEV000176,2024-10-22
A00177,higher_risk_edd,0.9281790361863166,app,DEV000177,2025-07-11
A00178,normal_risk_cdd,0.8188155590863399,app,DEV000178,2022-01-15
A00179,normal_risk_cdd,0.8558294590262793,app,DEV000179,2024-06-05
A00180,normal_risk_cdd,0.8527525996788422,branch,DEV000180,2022-07-18
A00181,normal_risk_cdd,0.7661257885972379,app,DEV000181,2023-05-29
A00182,normal_risk_cdd,0.9141436727920358,app,DEV000182,2023-04-04
A00183,normal_risk_cdd,0.7718891833786993,app,DEV000183,2022-10-12
A00184,normal_risk_cdd,0.8325413244362261,app,DEV000184,2024-11-08
A00185,normal_risk_cdd,0.8263775621823959,app,DEV000185,2025-01-17
A00186,normal_risk_cdd,0.8786482890127373,app,DEV000186,2021-11-28
A00187,lower_risk_sdd,0.4804716847826134,partner_institution,DEV000187,2023-03-27
A00188,normal_risk_cdd,0.9212727851943566,app,DEV000188,2024-09-29
A00189,normal_risk_cdd,0.7958407721910269,app,DEV000189,2023-04-28
A00190,higher_risk_edd,1.0,app,DEV000190,2024-05-03
A00191,normal_risk_cdd,0.8117468060387076,app,DEV000191,2022-06-18
A00192,lower_risk_sdd,0.6460925131412791,branch,DEV000192,2023-11-16
A00193,normal_risk_cdd,1.0,app,DEV000193,2024-08-28
A00194,normal_risk_cdd,0.8278129432965065,app,DEV000194,2023-02-22
A00195,normal_risk_cdd,0.9491079907738766,app,DEV000195,2022-11-26
A00196,normal_risk_cdd,0.8531236068451648,app,DEV000196,2024-06-03
A00197,normal_risk_cdd,0.8832335064234792,app,DEV000197,2022-11-23
A00198,normal_risk_cdd,0.8555966871529099,app,DEV000198,2024-12-23
A00199,normal_risk_cdd,0.91782813010401,app,DEV000199,2024-12-16
A00200,normal_risk_cdd,0.7951574709717558,app,DEV000200,2022-08-06
A00201,higher_risk_edd,0.8712761181584652,partner_institution,DEV000201,2023-06-03
A00202,normal_risk_cdd,0.7989139047698383,app,DEV000202,2025-10-12
A00203,lower_risk_sdd,0.6579768301059273,branch,DEV000203,2023-03-16
A00204,lower_risk_sdd,0.6323344971559737,app,DEV000204,2024-09-09
A00205,normal_risk_cdd,0.906821990117694,app,DEV000205,2024-10-25
A00206,lower_risk_sdd,0.7543785359857216,partner_institution,DEV000206,2024-03-19
A00207,normal_risk_cdd,0.7719329330211993,app,DEV000207,2024-02-07
A00208,lower_risk_sdd,0.5912840966708854,branch,DEV000208,2022-05-01
A00209,normal_risk_cdd,0.7351008465349717,app,DEV000209,2024-03-02
A00210,normal_risk_cdd,1.0,app,DEV000210,2024-09-22
A00211,normal_risk_cdd,0.8743735599297461,app,DEV000211,2022-10-22
A00212,normal_risk_cdd,0.8883841856041262,app,DEV000212,2023-09-27
A00213,normal_risk_cdd,0.7427833291975161,app,DEV000213,2025-12-01
A00214,normal_risk_cdd,0.84990640087945,app,DEV000214,2023-05-18
A00215,normal_risk_cdd,0.8907398387530469,app,DEV000215,2023-11-27
A00216,lower_risk_sdd,0.629779384757246,app,DEV000216,2023-08-11
A00217,lower_risk_sdd,0.7360564499861116,branch,DEV000217,2025-03-07
A00218,higher_risk_edd,1.0,app,DEV000218,2023-12-30
A00219,normal_risk_cdd,0.7742349738324839,branch,DEV000219,2023-04-27
A00220,normal_risk_cdd,0.7682330203218642,app,DEV000220,2023-03-13
A00221,normal_risk_cdd,0.7797795147577139,app,DEV000221,2023-03-08
A00222,normal_risk_cdd,0.9784959328013192,app,DEV000222,2021-11-27
A00223,higher_risk_edd,1.0,branch,DEV000223,2023-11-27
A00224,normal_risk_cdd,0.8391577745765081,app,DEV000224,2024-03-11
A00225,higher_risk_edd,0.95292477315207,branch,DEV000225,2023-09-28
A00226,lower_risk_sdd,0.5846765099042623,app,DEV000226,2024-08-06
A00227,normal_risk_cdd,0.9212021726194548,app,DEV000227,2024-08-26
A00228,normal_risk_cdd,0.8196078540713156,app,DEV000228,2023-02-22
A00229,lower_risk_sdd,0.6291938768436001,partner_institution,DEV000229,2024-08-29
A00230,lower_risk_sdd,0.6987031817223406,app,DEV000230,2022-11-28
A00231,normal_risk_cdd,0.8349604049533422,partner_institution,DEV000231,2022-12-03
A00232,higher_risk_edd,0.9312027205201724,app,DEV000232,2022-01-31
A00233,normal_risk_cdd,0.8508460164423259,branch,DEV000233,2025-05-23
A00234,higher_risk_edd,1.0,app,DEV000234,2024-06-16
A00235,normal_risk_cdd,0.9817194460387066,app,DEV000235,2022-10-25
A00236,normal_risk_cdd,0.8968388985796866,app,DEV000236,2024-03-12
A00237,normal_risk_cdd,0.9142651378899412,branch,DEV000237,2023-04-15
A00238,lower_risk_sdd,0.63401167503191,app,DEV000238,2022-12-18
A00239,lower_risk_sdd,0.5933761709465026,app,MULE_DEV_1,2022-05-12
A00240,normal_risk_cdd,0.9023188985788092,app,DEV000240,2025-01-04
A00241,normal_risk_cdd,0.8636992659680457,app,DEV000241,2024-11-15
A00242,normal_risk_cdd,0.73618970810002,app,DEV000242,2024-01-10
A00243,normal_risk_cdd,0.8237544301259522,app,DEV000243,2023-11-19
A00244,normal_risk_cdd,0.8433682381214757,app,DEV000244,2022-04-12
A00245,normal_risk_cdd,0.8091633706377217,app,DEV000245,2025-10-06
A00246,normal_risk_cdd,0.9685388475633702,app,DEV000246,2024-12-07
A00247,normal_risk_cdd,0.8883871229521774,app,DEV000247,2022-04-01
A00248,normal_risk_cdd,0.9598539934310918,branch,DEV000248,2023-06-13
A00249,normal_risk_cdd,0.8710740209321728,app,DEV000249,2023-03-16
A00250,normal_risk_cdd,0.8565110269140062,app,DEV000250,2024-11-30
A00251,normal_risk_cdd,0.77507217459118,app,DEV000251,2023-06-01
A00252,normal_risk_cdd,0.8509543626557253,app,DEV000252,2024-06-07
A00253,normal_risk_cdd,0.8510443140540352,app,DEV000253,2022-12-21
A00254,normal_risk_cdd,0.7406308892772613,app,DEV000254,2025-07-22
A00255,normal_risk_cdd,0.8068378024183683,app,DEV000255,2024-10-11
A00256,normal_risk_cdd,0.824137392118691,app,DEV000256,2023-04-30
A00257,lower_risk_sdd,0.6830783635244577,partner_institution,DEV000257,2023-06-29
A00258,lower_risk_sdd,0.6869080089588565,app,DEV000258,2022-07-16
A00259,normal_risk_cdd,0.8034945214427835,app,DEV000259,2022-09-12
A00260,lower_risk_sdd,0.6875095682033509,app,MULE_DEV_1,2025-11-11
A00261,normal_risk_cdd,0.8354336856521186,app,DEV000261,2025-07-23
A00262,normal_risk_cdd,0.6204303980116035,app,DEV000262,2024-06-30
A00263,lower_risk_sdd,0.6112238374438766,app,DEV000263,2022-01-23
A00264,higher_risk_edd,1.0,app,DEV000264,2024-01-01
A00265,normal_risk_cdd,0.7154555394697856,app,DEV000265,2022-05-01
A00266,normal_risk_cdd,0.8590152960332432,app,DEV000266,2025-09-06
A00267,normal_risk_cdd,0.9768208971348228,app,DEV000267,2022-01-17
A00268,lower_risk_sdd,0.5891509637591615,app,DEV000268,2025-09-04
A00269,lower_risk_sdd,0.6501719264342148,app,DEV000269,2022-09-01
A00270,lower_risk_sdd,0.5456786994217663,app,DEV000270,2022-05-23
A00271,normal_risk_cdd,0.9801784913330858,branch,DEV000271,2024-09-26
A00272,lower_risk_sdd,0.6433333898402709,app,DEV000272,2024-09-16
A00273,normal_risk_cdd,0.8537301474235214,app,DEV000273,2023-08-01
A00274,normal_risk_cdd,0.9583440372404498,app,DEV000274,2023-01-06
A00275,normal_risk_cdd,0.9029182715716384,app,DEV000275,2025-06-09
A00276,normal_risk_cdd,0.7799497014002608,app,DEV000276,2024-12-19
A00277,normal_risk_cdd,0.7982177660730148,app,DEV000277,2022-11-20
A00278,normal_risk_cdd,0.8895945043618638,app,DEV000278,2022-09-02
A00279,normal_risk_cdd,0.8000703155949648,branch,DEV000279,2025-04-21
A00280,lower_risk_sdd,0.4806205350303578,app,DEV000280,2022-05-05
A00281,normal_risk_cdd,0.8457407361088738,app,DEV000281,2022-06-07
A00282,normal_risk_cdd,0.7315829871100152,app,DEV000282,2022-06-06
A00283,normal_risk_cdd,0.979302540285098,app,DEV000283,2024-12-14
A00284,normal_risk_cdd,0.8641430110210522,app,DEV000284,2023-03-25
A00285,normal_risk_cdd,0.777585995460514,app,DEV000285,2025-04-11
A00286,lower_risk_sdd,0.5941094068270037,branch,DEV000286,2025-02-17
A00287,normal_risk_cdd,0.6988481929700864,branch,DEV000287,2025-08-20
A00288,normal_risk_cdd,0.7620430490575597,branch,DEV000288,2023-12-09
A00289,lower_risk_sdd,0.7313058562032559,app,DEV000289,2023-01-22
A00290,normal_risk_cdd,1.0,app,DEV000290,2025-02-13
A00291,lower_risk_sdd,0.7081117210559167,app,DEV000291,2025-03-04
A00292,higher_risk_edd,0.9426365969103176,app,DEV000292,2024-10-21
A00293,lower_risk_sdd,0.6154432499476867,app,MULE_DEV_1,2025-02-15
A00294,normal_risk_cdd,0.773480334913891,app,DEV000294,2022-07-27
A00295,higher_risk_edd,1.0,app,DEV000295,2025-03-28
A00296,higher_risk_edd,0.93490010385085,app,DEV000296,2024-10-19
A00297,normal_risk_cdd,1.0,app,DEV000297,2024-09-09
A00298,normal_risk_cdd,0.9614815607688048,app,DEV000298,2025-02-08
A00299,normal_risk_cdd,0.7107362854922981,app,DEV000299,2022-02-18
A00300,normal_risk_cdd,0.7967238083392566,app,DEV000300,2025-01-28
A00301,lower_risk_sdd,0.5964763900660942,app,DEV000301,2023-12-18
A00302,normal_risk_cdd,0.8436122908715408,app,DEV000302,2023-08-23
A00303,normal_risk_cdd,0.8451748597508997,partner_institution,DEV000303,2024-11-14
A00304,normal_risk_cdd,1.0,app,DEV000304,2024-01-10
A00305,normal_risk_cdd,0.7638217700420192,app,DEV000305,2025-03-27
A00306,normal_risk_cdd,0.8683175948531512,app,DEV000306,2023-12-24
A00307,normal_risk_cdd,0.8993206193974242,app,DEV000307,2025-11-05
A00308,normal_risk_cdd,0.8498742396424643,app,DEV000308,2024-02-26
A00309,lower_risk_sdd,0.6588144462225086,app,DEV000309,2024-06-14
A00310,normal_risk_cdd,0.766415288455473,app,DEV000310,2024-07-05
A00311,normal_risk_cdd,0.8585188955682145,app,DEV000311,2025-06-24
A00312,normal_risk_cdd,0.8909119196939498,app,DEV000312,2021-11-25
A00313,normal_risk_cdd,0.8762080467416903,app,DEV000313,2025-10-24
A00314,normal_risk_cdd,0.8956160723129672,app,DEV000314,2025-05-02
A00315,normal_risk_cdd,0.9630086320508986,app,DEV000315,2025-07-04
A00316,normal_risk_cdd,0.9249573233531472,app,DEV000316,2021-12-26
A00317,normal_risk_cdd,0.855703569079795,app,DEV000317,2024-08-21
A00318,normal_risk_cdd,0.7562593318493377,app,DEV000318,2024-03-09
A00319,higher_risk_edd,0.9019995780231104,app,DEV000319,2022-11-25
A00320,higher_risk_edd,0.9324295078466068,app,DEV000320,2025-09-19
A00321,normal_risk_cdd,0.8701876665073157,app,DEV000321,2025-08-26
A00322,normal_risk_cdd,0.8117333790800484,app,DEV000322,2025-03-09
A00323,normal_risk_cdd,0.7751413440652518,partner_institution,DEV000323,2023-03-11
A00324,normal_risk_cdd,0.754944104870373,app,DEV000324,2021-12-25
A00325,normal_risk_cdd,0.7179057792755575,branch,DEV000325,2023-06-04
A00326,normal_risk_cdd,0.8312039436980345,branch,DEV000326,2022-05-30
A00327,normal_risk_cdd,0.7324267646343756,app,DEV000327,2022-05-16
A00328,normal_risk_cdd,0.7699579452674086,app,DEV000328,2024-10-22
A00329,normal_risk_cdd,0.8184878501724557,app,DEV000329,2025-03-07
A00330,normal_risk_cdd,0.7431266152486853,partner_institution,DEV000330,2025-04-11
A00331,normal_risk_cdd,0.8803801750798957,app,DEV000331,2022-09-22
A00332,normal_risk_cdd,0.9092178450884548,app,DEV000332,2023-03-24
A00333,normal_risk_cdd,0.8060458384179681,app,DEV000333,2022-06-10
A00334,lower_risk_sdd,0.6150378153911998,branch,DEV000334,2023-11-18
A00335,normal_risk_cdd,0.8929943816111262,app,DEV000335,2021-12-28
A00336,lower_risk_sdd,0.5928803922212257,app,DEV000336,2022-04-28
A00337,normal_risk_cdd,0.7873812870722163,app,DEV000337,2022-09-01
A00338,lower_risk_sdd,0.7457198782549033,app,DEV000338,2022-09-09
A00339,higher_risk_edd,1.0,branch,DEV000339,2025-06-04
A00340,lower_risk_sdd,0.6981240001875136,app,DEV000340,2022-12-04
A00341,higher_risk_edd,1.0,app,DEV000341,2022-02-09
A00342,normal_risk_cdd,0.691817701970611,app,DEV000342,2024-09-29
A00343,normal_risk_cdd,0.9583068437434484,app,DEV000343,2022-08-22
A00344,normal_risk_cdd,0.8813649693266994,app,DEV000344,2024-07-06
A00345,normal_risk_cdd,0.9308625107204588,app,DEV000345,2025-01-24
A00346,higher_risk_edd,0.980972942329309,app,DEV000346,2022-12-25
A00347,normal_risk_cdd,0.8539139859744125,app,DEV000347,2025-04-04
A00348,normal_risk_cdd,0.8279752630110356,partner_institution,DEV000348,2023-12-26
A00349,lower_risk_sdd,0.6793715501508965,app,DEV000349,2022-02-25
A00350,normal_risk_cdd,0.8250601672876358,app,DEV000350,2025-04-16
A00351,normal_risk_cdd,0.919430088005209,app,DEV000351,2025-04-18
A00352,normal_risk_cdd,0.7230834684358239,app,DEV000352,2022-02-15
A00353,normal_risk_cdd,0.8066739310564578,branch,DEV000353,2022-10-17
A00354,normal_risk_cdd,1.0,app,DEV000354,2024-01-24
A00355,normal_risk_cdd,0.7999135629142086,app,DEV000355,2024-04-16
A00356,normal_risk_cdd,0.8309053021549218,app,DEV000356,2022-01-15
A00357,normal_risk_cdd,0.7793935253319939,app,DEV000357,2023-01-04
A00358,normal_risk_cdd,0.8768676538308658,app,DEV000358,2022-04-07
A00359,normal_risk_cdd,0.7910988087886244,app,DEV000359,2025-07-20
A00360,higher_risk_edd,0.935151125215436,app,DEV000360,2023-10-15
A00361,lower_risk_sdd,0.7179093228828056,branch,DEV000361,2023-01-02
A00362,lower_risk_sdd,0.5940989264948148,app,DEV000362,2025-10-11
A00363,lower_risk_sdd,0.7130888895412177,app,DEV000363,2023-11-11
A00364,normal_risk_cdd,0.9157783452448284,app,DEV000364,2025-09-12
A00365,normal_risk_cdd,0.9343964875775436,app,DEV000365,2022-04-19
A00366,normal_risk_cdd,0.8612432795934432,app,DEV000366,2023-03-07
